,Area,Year,Undernourished (mil),Population,Population (mil),Undernourished (%),Inflation (%),Ratio U:I ,Ratio I:U
125,Philippines,2007,11.6,89405482.0,89.405482,12.974595897822000,3.703271666666670,3.503549581470620,0.285424817530412
126,Philippines,2008,10.8,90901967.0,90.901967,11.880931025397900,12.930978083333300,0.918796006677267,1.088380873156380
127,Philippines,2009,10.3,92414161.0,92.414161,11.145478018244400,6.404638333333330,1.740219734225600,0.574640075809164
128,Philippines,2010,10.6,93966784.0,93.966784,11.280581870291500,3.9844676666666700,2.83113901630142,0.353214728857219
129,Philippines,2011,11.4,95570049.0,95.570049,11.928423307599200,5.483604500000000,2.175288773579350,0.459709079615458
130,Philippines,2012,11.9,97212639.0,97.212639,12.241206619233900,2.6761668333333300,4.57415676286023,0.218619529640846
131,Philippines,2013,11.7,98871558.0,98.871558,11.83353457422000,2.5409804166666700,4.65707429171909,0.214727087729336
132,Philippines,2014,11.4,100513137.0,100.513137,11.341801022487200,5.77024425,1.96556688609623,0.508759079669925
133,Philippines,2015,11.1,102113206.0,102.113206,10.870288413038400,1.9137715,5.68003463999668,0.176055264339125
134,Philippines,2016,10.4,103663812.0,103.663812,10.032430603651700,1.5823200833333300,6.34032943733943,0.157720511194703
135,Philippines,2017,9.1,105172921.0,105.172921,8.652417289047250,3.0503054166666700,2.83657408263809,0.352537945728523
136,Philippines,2018,7.9,106651394.0,106.651394,7.4073105879891300,6.841128833333330,1.08276145186699,0.92356446406151
137,Philippines,2019,6.6,108116622.0,108.116622,6.104519247743420,2.1069521666666700,2.89732218145282,0.345146289356942
138,Philippines,2020,5.9,109581085.0,109.581085,5.384140885263180,2.732037416666670,1.970742000976080,0.507423092167679
139,Philippines,2021,5.7,111046910.0,111.04691,5.132965879014550,5.212744416666670,0.984695482595110,1.015542386123840
140,Singapore,2002,,4175950.0,4.17595,,-0.5014656666666670,0.0000000000000000,
141,Singapore,2003,,4114826.0,4.114826,,0.5762715833333330,0.0000000000000000,
142,Singapore,2004,,4166664.0,4.166664,,2.02497,0.00000,
143,Singapore,2005,,4265762.0,4.265762,,-2.0568136666666700,0.0000000000000000,
144,Singapore,2006,,4401365.0,4.401365,,1.9596963333333300,0.0000000000000000,
145,Singapore,2007,,4588599.0,4.588599,,4.0310991666666700,0.0000000000000000,
146,Singapore,2008,,4839396.0,4.839396,,9.732986666666670,0.000000000000000,
147,Singapore,2009,,4987573.0,4.987573,,2.5671424166666700,0.0000000000000000,
148,Singapore,2010,,5076732.0,5.076732,,2.339372416666670,0.000000000000000,
149,Singapore,2011,,5183688.0,5.183688,,3.562307166666670,0.000000000000000,
150,Singapore,2012,,5312437.0,5.312437,,2.4500005833333300,0.0000000000000000,
151,Singapore,2013,,5399162.0,5.399162,,2.316290916666670,0.000000000000000,
152,Singapore,2014,,5469724.0,5.469724,,2.9564645000000000,0.0000000000000000,
